Actions,Actions Url,WIID,Description,Type,Status,Date
,https://acme-test.uipath.com/work-items/94455481,94455481,Research Client Check Copy,WI2,Open,2017-07-06
,https://acme-test.uipath.com/work-items/94455465,94455465,Process Vendor Invoice,WI3,Open,2017-03-12
,https://acme-test.uipath.com/work-items/94455508,94455508,Verify Account Position,WI1,Open,2022-04-11
,https://acme-test.uipath.com/work-items/94455513,94455513,Verify Account Position,WI1,Open,2019-09-12
,https://acme-test.uipath.com/work-items/94455501,94455501,Research Client Check Copy,WI2,Open,2020-04-19
,https://acme-test.uipath.com/work-items/94455473,94455473,Process Vendor Invoice,WI3,Open,2018-07-12
,https://acme-test.uipath.com/work-items/94455519,94455519,Verify Account Position,WI1,Open,2023-04-18
,https://acme-test.uipath.com/work-items/94455489,94455489,Research Client Check Copy,WI2,Open,2020-10-19
,https://acme-test.uipath.com/work-items/94455492,94455492,Research Client Check Copy,WI2,Open,2021-07-09
,https://acme-test.uipath.com/work-items/94455484,94455484,Research Client Check Copy,WI2,Open,2019-11-17
,https://acme-test.uipath.com/work-items/94455526,94455526,Verify Account Position,WI1,Open,2023-01-20
,https://acme-test.uipath.com/work-items/94455507,94455507,Research Client Check Copy,WI2,Open,2021-12-22
,https://acme-test.uipath.com/work-items/94455476,94455476,Process Vendor Invoice,WI3,Open,2017-08-17
,https://acme-test.uipath.com/work-items/94455480,94455480,Research Client Check Copy,WI2,Open,2023-04-11
,https://acme-test.uipath.com/work-items/94455498,94455498,Research Client Check Copy,WI2,Open,2017-03-19
,https://acme-test.uipath.com/work-items/94455540,94455540,Verify Account Position,WI1,Open,2022-01-26
,https://acme-test.uipath.com/work-items/94455532,94455532,Verify Account Position,WI1,Open,2020-06-19
,https://acme-test.uipath.com/work-items/94455429,94455429,Generate Yearly Report for Vendor,WI4,Open,2023-03-21
,https://acme-test.uipath.com/work-items/94455518,94455518,Verify Account Position,WI1,Open,2018-05-01
,https://acme-test.uipath.com/work-items/94455537,94455537,Verify Account Position,WI1,Open,2017-10-16
,https://acme-test.uipath.com/work-items/94455525,94455525,Verify Account Position,WI1,Open,2021-02-28
,https://acme-test.uipath.com/work-items/94455487,94455487,Research Client Check Copy,WI2,Open,2019-12-05
,https://acme-test.uipath.com/work-items/94455472,94455472,Process Vendor Invoice,WI3,Open,2020-10-03
,https://acme-test.uipath.com/work-items/94455529,94455529,Verify Account Position,WI1,Open,2020-05-10
,https://acme-test.uipath.com/work-items/94455497,94455497,Research Client Check Copy,WI2,Open,2018-07-25
,https://acme-test.uipath.com/work-items/94455470,94455470,Process Vendor Invoice,WI3,Open,2021-01-27
,https://acme-test.uipath.com/work-items/94455475,94455475,Process Vendor Invoice,WI3,Open,2019-04-30
,https://acme-test.uipath.com/work-items/94455535,94455535,Verify Account Position,WI1,Open,2018-11-13
,https://acme-test.uipath.com/work-items/94455386,94455386,Calculate Client Security Hash,WI5,Open,2018-11-03
,https://acme-test.uipath.com/work-items/94455385,94455385,Calculate Client Security Hash,WI5,Open,2017-11-06
,https://acme-test.uipath.com/work-items/94455380,94455380,Calculate Client Security Hash,WI5,Open,2020-03-11
